"subj"	"group"	"cb"	"age"	"gender"	"hand"	"trial"	"ans"	"resp"	"acc"	"confrat"
601	2	2	21	"m"	"r"	1	1	1	1	485
601	2	2	21	"m"	"r"	2	2	1	0	152
601	2	2	21	"m"	"r"	3	2	2	1	315
601	2	2	21	"m"	"r"	4	1	1	1	129
601	2	2	21	"m"	"r"	5	2	2	1	478
601	2	2	21	"m"	"r"	6	1	1	1	229
601	2	2	21	"m"	"r"	7	2	2	1	175
601	2	2	21	"m"	"r"	8	1	2	0	358
601	2	2	21	"m"	"r"	9	2	1	0	313
601	2	2	21	"m"	"r"	10	1	1	1	477
602	3	1	19	"f"	"r"	1	1	1	1	357
602	3	1	19	"f"	"r"	2	2	1	0	304
602	3	1	19	"f"	"r"	3	2	2	1	471
602	3	1	19	"f"	"r"	4	1	1	1	424
602	3	1	19	"f"	"r"	5	1	1	1	424
602	3	1	19	"f"	"r"	6	2	2	1	420
602	3	1	19	"f"	"r"	7	1	1	1	421
602	3	1	19	"f"	"r"	8	2	2	1	421
602	3	1	19	"f"	"r"	9	2	2	1	420
602	3	1	19	"f"	"r"	10	1	1	1	417
603	3	2	18	"m"	"R"	1	2	2	1	482
603	3	2	18	"m"	"R"	2	1	1	1	599
603	3	2	18	"m"	"R"	3	1	1	1	597
603	3	2	18	"m"	"R"	4	2	2	1	596
603	3	2	18	"m"	"R"	5	2	2	1	597
603	3	2	18	"m"	"R"	6	1	1	1	597
603	3	2	18	"m"	"R"	7	2	2	1	597
603	3	2	18	"m"	"R"	8	1	1	1	599
603	3	2	18	"m"	"R"	9	1	1	1	599
603	3	2	18	"m"	"R"	10	2	2	1	598
605	2	2	19	"f"	"r"	1	2	1	0	334
605	2	2	19	"f"	"r"	2	1	2	0	180
605	2	2	19	"f"	"r"	3	2	2	1	298
605	2	2	19	"f"	"r"	4	1	1	1	359
605	2	2	19	"f"	"r"	5	2	2	1	367
605	2	2	19	"f"	"r"	6	1	2	0	58
605	2	2	19	"f"	"r"	7	1	1	1	116
605	2	2	19	"f"	"r"	8	2	2	1	2
605	2	2	19	"f"	"r"	9	1	2	0	120
605	2	2	19	"f"	"r"	10	2	2	1	43
